MON(strt_trip),trip_time_minutes
April,437624.583333
August,4879176.450000
December,440741.900000
February,156980.850000
January,254036.766667
July,4534042.583333
June,2691267.000000
March,1383875.066667
May,1558490.683333
November,1379718.383333
October,2268559.333333
September,3803215.616667
