MON(strt_trip),trip_time_minutes
April,982575.0
August,4895489.683333334
December,1182977.4
February,499705.9
January,894710.15
July,4397835.8
June,3072612.0
March,1834169.4166666667
May,1934850.3
November,2135939.066666667
October,3044454.85
September,4146656.7666666666
